Date,CL=F,DX-Y.NYB,GC=F,^GSPC,^IXIC
2023-02-21,76.16000366210938,104.18000030517578,1833.0,3997.340087890625,11492.2998046875
2023-02-22,73.94999694824219,104.58999633789062,1832.0,3991.050048828125,11507.0703125
2023-02-23,75.38999938964844,104.5999984741211,1818.0,4012.320068359375,11590.400390625
2023-02-24,76.31999969482422,105.20999908447266,1808.800048828125,3970.0400390625,11394.9404296875
2023-02-27,75.68000030517578,104.66999816894531,1817.0,3982.239990234375,11466.98046875
2023-02-28,77.05000305175781,104.87000274658203,1828.9000244140625,3970.14990234375,11455.5400390625
2023-03-01,77.69000244140625,104.4800033569336,1837.699951171875,3951.389892578125,11379.48046875
2023-03-02,78.16000366210938,105.02999877929688,1833.5,3981.35009765625,11462.98046875
2023-03-03,79.68000030517578,104.5199966430664,1847.699951171875,4045.639892578125,11689.009765625
2023-03-06,80.45999908447266,104.3499984741211,1847.9000244140625,4048.419921875,11675.740234375
2023-03-07,77.58000183105469,105.62000274658203,1813.9000244140625,3986.3701171875,11530.330078125
2023-03-08,76.66000366210938,105.66000366210938,1812.699951171875,3992.010009765625,11576.0
2023-03-09,75.72000122070312,105.30999755859375,1829.300048828125,3918.320068359375,11338.349609375
2023-03-10,76.68000030517578,104.58000183105469,1862.0,3861.590087890625,11138.8896484375
2023-03-13,74.80000305175781,103.5999984741211,1911.699951171875,3855.760009765625,11188.83984375
2023-03-14,71.33000183105469,103.5999984741211,1906.199951171875,3919.2900390625,11428.150390625
2023-03-15,67.61000061035156,104.6500015258789,1926.5999755859375,3891.929931640625,11434.0498046875
2023-03-16,68.3499984741211,104.41999816894531,1919.0,3960.280029296875,11717.2802734375
2023-03-17,66.73999786376953,103.70999908447266,1969.800048828125,3916.639892578125,11630.509765625
2023-03-20,67.63999938964844,103.27999877929688,1979.199951171875,3951.570068359375,11675.5400390625
2023-03-21,69.33000183105469,103.26000213623047,1938.0,4002.8701171875,11860.1103515625
2023-03-22,70.9000015258789,102.3499984741211,1946.800048828125,3936.969970703125,11669.9599609375
2023-03-23,69.95999908447266,102.52999877929688,1993.800048828125,3948.719970703125,11787.400390625
2023-03-24,69.26000213623047,103.12000274658203,1982.0999755859375,3970.989990234375,11823.9599609375
2023-03-27,72.80999755859375,102.86000061035156,1952.4000244140625,3977.530029296875,11768.83984375
2023-03-28,73.19999694824219,102.43000030517578,1972.4000244140625,3971.27001953125,11716.080078125
2023-03-29,72.97000122070312,102.63999938964844,1966.0999755859375,4027.81005859375,11926.240234375
2023-03-30,74.37000274658203,102.13999938964844,1980.300048828125,4050.830078125,12013.4697265625
2023-03-31,75.66999816894531,102.51000213623047,1969.0,4109.31005859375,12221.91015625
2023-04-03,80.41999816894531,102.08999633789062,1983.9000244140625,4124.509765625,12189.4501953125
2023-04-04,80.70999908447266,101.58999633789062,2022.199951171875,4100.60009765625,12126.330078125
2023-04-05,80.61000061035156,101.8499984741211,2020.9000244140625,4090.3798828125,11996.8603515625
2023-04-06,80.69999694824219,101.81999969482422,2011.9000244140625,4105.02001953125,12087.9599609375
2023-04-10,79.73999786376953,102.58000183105469,1989.0999755859375,4109.10986328125,12084.3603515625
2023-04-11,81.52999877929688,102.19999694824219,2004.800048828125,4108.93994140625,12031.8798828125
2023-04-12,83.26000213623047,101.5,2010.9000244140625,4091.949951171875,11929.33984375
2023-04-13,82.16000366210938,101.01000213623047,2041.300048828125,4146.22021484375,12166.26953125
2023-04-14,82.5199966430664,101.55000305175781,2002.199951171875,4137.64013671875,12123.4697265625
2023-04-17,80.83000183105469,102.0999984741211,1994.199951171875,4151.31982421875,12157.7197265625
2023-04-18,80.86000061035156,101.75,2007.4000244140625,4154.8701171875,12153.41015625
2023-04-19,79.16000366210938,101.97000122070312,1995.199951171875,4154.52001953125,12157.23046875
2023-04-20,77.29000091552734,101.83999633789062,2007.5999755859375,4129.7900390625,12059.5595703125
2023-04-21,77.87000274658203,101.81999969482422,1979.5,4133.52001953125,12072.4599609375
2023-04-24,78.76000213623047,101.3499984741211,1989.0999755859375,4137.0400390625,12037.2001953125
2023-04-25,77.06999969482422,101.86000061035156,1994.0,4071.6298828125,11799.16015625
2023-04-26,74.30000305175781,101.47000122070312,1985.699951171875,4055.989990234375,11854.349609375
2023-04-27,74.76000213623047,101.5,1989.9000244140625,4135.35009765625,12142.240234375
2023-04-28,76.77999877929688,101.66999816894531,1990.0999755859375,4169.47998046875,12226.580078125
2023-05-01,75.66000366210938,102.1500015258789,1983.4000244140625,4167.8701171875,12212.599609375
2023-05-02,71.66000366210938,101.95999908447266,2014.300048828125,4119.580078125,12080.509765625
2023-05-03,68.5999984741211,101.33999633789062,2028.5999755859375,4090.75,12025.330078125
2023-05-04,68.55999755859375,101.4000015258789,2048.0,4061.219970703125,11966.400390625
2023-05-05,71.33999633789062,101.20999908447266,2017.4000244140625,4136.25,12235.41015625
2023-05-08,73.16000366210938,101.37000274658203,2026.300048828125,4138.1201171875,12256.919921875
2023-05-09,73.70999908447266,101.63999938964844,2036.199951171875,4119.169921875,12179.5498046875
